BPM,Person,Time,State
85.71,1,59319,Awake
80.97,1,59319,Awake
80.97,1,59319,Awake
80.97,1,59324,Awake
80.97,1,59324,Awake
88.11,1,59324,Awake
80.97,1,59324,Awake
76.82,1,59329,Awake
85.59,1,59329,Awake
74.91,1,59329,Asleep
71.34,1,59335,Asleep
73.08,1,59335,Asleep
65.15,1,59335,Asleep
73.08,1,59340,Asleep
74.91,1,59340,Asleep
71.34,1,59340,Asleep
76.92,1,59345,Awake
71.34,1,59345,Asleep
74.91,1,59345,Asleep
69.69,1,59345,Asleep
74.91,1,59351,Asleep
90.77,1,59351,Awake
90.77,1,59351,Awake
74.91,1,59351,Asleep
74.91,1,59357,Asleep
69.61,1,59357,Asleep
85.71,1,59373,Awake
74.91,1,59373,Asleep
78.84,1,59378,Awake
80.97,1,59378,Awake
78.84,1,59378,Awake
78.84,1,59383,Awake
76.82,1,59383,Awake
80.97,1,59383,Awake
83.33,1,59383,Awake
74.91,1,59388,Asleep
83.22,1,59388,Awake
75.0,1,59388,Asleep
78.84,1,59394,Awake
76.82,1,59394,Awake
85.71,1,59394,Awake
80.97,1,59394,Awake
85.59,1,59399,Awake
85.71,1,59399,Awake
78.84,1,59399,Awake
83.22,1,59404,Awake
83.33,1,59404,Awake
80.97,1,59404,Awake
83.22,1,59404,Awake
76.82,1,59409,Awake
78.84,1,59409,Awake
76.82,1,59409,Awake
80.97,1,59414,Awake
80.97,1,59414,Awake
81.08,1,59414,Awake
78.84,1,59414,Awake
80.97,1,59419,Awake
78.84,1,59419,Awake
78.84,1,59419,Awake
80.97,1,59425,Awake
80.97,1,59425,Awake
78.84,1,59425,Awake
83.33,1,59425,Awake
80.97,1,59430,Awake
88.11,1,59430,Awake
85.71,1,59430,Awake
80.97,1,59430,Awake
78.84,1,59435,Awake
78.84,1,59435,Awake
81.08,1,59435,Awake
80.97,1,59441,Awake
78.84,1,59441,Awake
83.22,1,59441,Awake
78.95,1,59441,Awake
78.84,1,59446,Awake
83.22,1,59446,Awake
88.11,1,59446,Awake
76.82,1,59451,Awake
74.91,1,59451,Asleep
80.97,1,59451,Awake
74.91,1,59451,Asleep
76.82,1,59457,Awake
78.84,1,59457,Awake
81.08,1,59457,Awake
83.22,1,59462,Awake
80.97,1,59462,Awake
80.97,1,59462,Awake
78.84,1,59462,Awake
85.59,1,59467,Awake
85.59,1,59467,Awake
83.22,1,59467,Awake
69.69,1,59477,Asleep
71.34,1,59477,Asleep
74.91,1,59483,Asleep
76.82,1,59483,Awake
74.91,1,59483,Asleep
76.82,1,59483,Awake
80.97,1,59488,Awake
90.77,1,59488,Awake
88.11,1,59488,Awake
73.08,1,59488,Asleep
83.22,1,59494,Awake
